sbe	entry- index	start	end	full- src	full- tr	SND- Filename
POL1043J.SBE	0	4	113	Thank you, miss. Good evening. Sorry to bother you.	감사합니다, 아가씨. 좋은 저녁 되십시오. 번거롭게 해드려 죄송합니다.	POL1043J.SND
POL1044A.SBE	0	10	93	Good evening. Police. Open the door, please.	좋은 저녁입니다. 경찰입니다. 문 열어주십시오.	POL1044A.SND
POL1044B.SBE	0	10	100	Good evening. Police. Open the door, please.	좋은 저녁입니다. 경찰입니다. 문 열어주십시오.	POL1044B.SND
POL1045A.SBE	0	20	85	It's the police, sir.	경찰입니다, 선생님.	POL1045A.SND
POL1045B.SBE	0	8	45	One moment please...	잠시만요...	POL1045B.SND
POL1045B.SBE	1	65	100	Please come in.	들어오십시오.	POL1045B.SND
POL1045C.SBE	0	1	33	Wait a minute.	잠깐만요.	POL1045C.SND
POL1045C.SBE	1	97	144	Monsieur, this is the police. Open the door.	무슈, 경찰입니다. 문 여십시오.	POL1045C.SND
POL1045D.SBE	0	1	83	- Yes? Who is it? - This is the police, monsieur.	- 예? 누구죠? - 경찰입니다, 무슈.	POL1045D.SND
POL1045E.SBE	0	10	52	Just a moment!	잠깐만요!	POL1045E.SND
POL1045E.SBE	1	89	121	It's the police, madame.	경찰입니다, 마담.	POL1045E.SND
POL1045G.SBE	0	4	34	Who is it?	누구죠?	POL1045G.SND
POL1045G.SBE	1	36	77	It's the police, madame.	경찰입니다, 마담.	POL1045G.SND
POL1045G.SBE	2	79	110	The police?	경찰이라고요?	POL1045G.SND
POL1045G.SBE	3	112	171	One moment, please.	잠시만요.	POL1045G.SND
POL1045G.SBE	4	195	245	Come in!	들어오세요!	POL1045G.SND
POL1045H.SBE	0	3	32	Who is it?	누구죠?	POL1045H.SND
POL1045H.SBE	1	33	70	It's the police, monsieur.	경찰입니다, 무슈.	POL1045H.SND
POL1045H.SBE	2	73	105	Just a moment.	잠시만요.	POL1045H.SND
POL1045H.SBE	3	111	160	Come in!	들어오시오!	POL1045H.SND
POL1045J.SBE	0	1	30	Just a minute.	잠깐만요.	POL1045J.SND
POL1045J.SBE	1	60	96	Come in.	들어오세요.	POL1045J.SND
POL1046.SBE	0	22	95	Good evening, sir. Open the door, please.	좋은 저녁입니다, 선생님. 문 열어주십시오.	POL1046.SND
POL1046A.SBE	0	23	80	Monsieur, this is the police. Open the door.	무슈, 경찰입니다. 문 여십시오.	POL1046A.SND
POL1046B.SBE	0	1	62	- What's the trouble? - This is the police, monsieur.	- 무슨 일입니까? - 경찰입니다, 무슈.	POL1046B.SND
POL1101.SBE	0	10	135	Gentlemen, we are behind schedule. We must leave right now. Good night.	신사 여러분, 지연 중입니다. 지금 즉시 출발해야 합니다. 안녕히 계십시오.	POL1101.SND
POL1101.SBE	1	138	277	Wait. You are supposed to have 24 passengers, and we only counted 23.	잠깐. 원래 승객이 24명이어야 하는데 23명만 확인됐소.	POL1101.SND
POL1101.SBE	2	280	320	One is missing!	한 명이 사라졌소!	POL1101.SND
POL1101.SBE	3	323	461	We are very sorry about that, sir. But the Orient Express must stay on time.	유감입니다만, 오리엔트 특급은 정시 운행을 지켜야 합니다.	POL1101.SND
POL1101.SBE	4	465	575	You can get off now, or you can stay all the way to Chalons, as you like.	지금 내리시든지, 아니면 샬롱까지 동행하시든지 선택하십시오.	POL1101.SND
POZSONY.SBE	0	0	100	Pozsony 8:08 pm	포조니 오후 8:08	POZSONY.SND
REB1012.SBE	0	1	53	The French are so funny.	프랑스인들은 참 우스워.	REB1012.SND
REB1012.SBE	1	53	153	Madame Caillaux seems to have become a sort of national heroine.	카이요 부인이 무슨 국민 영웅이라도 된 분위기야.	REB1012.SND
REB1012.SBE	2	153	230	Somehow she's been transformed from an insignificant woman	별 볼 일 없는 여자가 어느새	REB1012.SND
REB1012.SBE	3	230	334	enslaved and overshadowed by her husband into a passionate avenger.	남편에게 눌려 살던 존재에서 열정적인 복수자로 변신했잖아.	REB1012.SND
REB1012.SBE	4	334	447	If the middle classes are going to start writing history, we're in trouble.	중산층이 역사를 쓰기 시작하면 큰일이야.	REB1012.SND
REB1012.SBE	5	447	528	That's just the kind of thing a little aristocrat girl would say.	딱 귀족 아가씨가 할 법한 말이네.	REB1012.SND
REB1012.SBE	6	528	634	Stop it. You even said yourself that she was like Madame Bovary.	그만해. 너도 아까 카이요 부인이 마담 보바리 같다고 했잖아.	REB1012.SND
REB1012.SBE	7	634	691	What counts is she's acted.	중요한 건, 그 여자가 행동했다는 거야.	REB1012.SND
REB1012.SBE	8	691	750	She's the very opposite of Madame Bovary.	오히려 마담 보바리와는 정반대지.	REB1012.SND
REB1012.SBE	9	750	801	I'd say more Joan of Arc, really.	내 눈엔 오히려 잔 다르크에 더 가까워.	REB1012.SND
REB1012.SBE	10	801	851	Who the English burned at the stake...	그 잔 다르크를 영국이 화형에 처했지...	REB1012.SND
REB1012.SBE	11	851	903	Must you always bring that up?	꼭 그 얘기를 꺼내야 해?	REB1012.SND
REB1012.SBE	12	903	960	Well, it happened...	실제로 그랬는걸...	REB1012.SND
REB1012.SBE	13	982	1042	What really interests me about Madame Caillaux	내가 카이요 부인 사건에서 흥미로운 건	REB1012.SND
REB1012.SBE	14	1042	1148	is the way the French scandals develop so differently from English ones.	프랑스식 스캔들이 영국식과 전개가 아주 다르다는 점이야.	REB1012.SND
REB1012.SBE	15	1148	1260	Like the Dreyfus affair. In England, if a Jewish army officer...	드레퓌스 사건도 그렇고. 영국에서 유대인 장교가...	REB1012.SND
REB1013.SBE	0	11	65	Look at that handsome man who just came in.	방금 들어온 저 잘생긴 남자 좀 봐.	REB1013.SND
REB1013.SBE	1	70	100	Sophie!	소피!	REB1013.SND
REB1013.SBE	2	108	192	Don't worry, he won't understand, he's an American.	걱정 마, 못 알아들어. 미국인이잖아.	REB1013.SND
REB1013.SBE	3	202	306	If we don't look at him, he will never know we are talking about him.	쳐다보지만 않으면 자길 말하는 줄 절대 몰라.	REB1013.SND
REB1013.SBE	4	307	336	Good Lord.	맙소사.	REB1013.SND
REB1013.SBE	5	337	416	Isn't he impressive? He seems to have just come in from outside,	인상적이지 않아? 방금 바깥에서 들어온 사람 같아,	REB1013.SND
REB1013.SBE	6	423	478	not at all like a European.	전혀 유럽인답지 않게.	REB1013.SND
REB1013.SBE	7	489	603	Jacket open, hair mussed...	재킷은 풀어헤치고, 머리는 헝클어져 있고...	REB1013.SND
REB1013.SBE	8	604	634	Listen, he could use a wash.	솔직히 씻긴 해야겠어.	REB1013.SND
REB1013.SBE	9	635	644	He could.	그건 맞아.	REB1013.SND
REB1013.SBE	10	645	734	Listen, if you are not interested in small details,	들어봐, 사소한 디테일에 관심이 없으면	REB1013.SND
REB1013.SBE	11	739	808	you'll never become a great writer.	절대 대작가는 못 돼.	REB1013.SND
REB1013.SBE	12	816	950	Look at his sad eyes. He could be a model for the hero of a novel.	저 쓸쓸한 눈 좀 봐. 소설 주인공 모델로 딱이야.	REB1013.SND
REB1015.SBE	0	16	48	Come on. Let's go back.	가자, 돌아가자.	REB1015.SND
REB1015.SBE	1	55	92	Aren't we going to dinner?	저녁 안 먹을 거야?	REB1015.SND
REB1015.SBE	2	96	188	Of course not, that's not how it's done on luxury trains.	당연히 지금은 아니지, 호화 열차에선 그렇게 안 해.	REB1015.SND
REB1015.SBE	3	193	272	It's only eight o'clock. We must wait for the second service.	아직 여덟 시야. 두 번째 서빙을 기다려야 해.	REB1015.SND
REB1015.SBE	4	276	402	If we eat now, afterwards we'll be bored. Look who's gone in.	지금 먹으면 그다음엔 할 일이 없어져. 저 안에 누가 들어갔는지 봐.	REB1015.SND
REB1015.SBE	5	406	506	Only old and impossible people. Trust me.	늙고 까다로운 사람들뿐이야. 날 믿어.	REB1015.SND
REB1039.SBE	0	1	25	Who is it?	누구죠?	REB1039.SND
REB1039A.SBE	0	1	22	Who is it?	누구죠?	REB1039A.SND
REB1106.SBE	0	1	22	Excuse me.	실례합니다.	REB1106.SND
REB1106A.SBE	0	1	27	Excuse me.	실례합니다.	REB1106A.SND
REB1198.SBE	0	9	90	Mademoiselle, I have saved your favorite table for you.	마드무아젤, 좋아하시는 자리를 따로 비워 두었습니다.	REB1198.SND
REB1198.SBE	1	97	201	What a pleasure to see you tonight with your charming friend.	오늘 밤 매력적인 친구분과 함께 오시다니 영광입니다.	REB1198.SND
REB1198.SBE	2	205	305	Never have I seen two such beautiful young ladies in one place.	이렇게 아름다운 젊은 숙녀 두 분을 한자리에서 본 적이 없습니다.	REB1198.SND
REB1198.SBE	3	310	359	You are the queens of the Orient Express.	두 분이야말로 오리엔트 특급의 여왕입니다.	REB1198.SND
REB1198.SBE	4	363	395	Thank you, Pascale.	고마워요, 파스칼.	REB1198.SND
REB1199.SBE	0	0	66	He does lay it on a bit thick, doesn't he.	저 사람, 말이 좀 과하지 않아?	REB1199.SND
REB1199.SBE	1	66	153	Pascale? Oh he talks like that to everybody.	파스칼? 아, 저 사람은 누구에게나 저렇게 말해.	REB1199.SND
REB1199A.SBE	0	0	58	You are really very beautiful tonight.	오늘 밤 넌 정말 너무 예뻐.	REB1199A.SND
REB1199A.SBE	1	58	144	Sophie, you're embarrassing me.	소피, 부끄럽게 왜 그래.	REB1199A.SND
REB1199A.SBE	2	144	253	Why? It's true. You don't believe me?	왜? 사실이잖아. 못 믿겠어?	REB1199A.SND
REB1199A.SBE	3	277	380	Turn around and ask our American if he finds you beautiful.	돌아서서 저 미국인에게 네가 예쁜지 물어봐.	REB1199A.SND
REB1199A.SBE	4	380	462	I know he'll agree with me.	분명 내 말에 동의할걸.	REB1199A.SND
REB1199B.SBE	0	1	42	Sophie!	소피!	REB1199B.SND
REB1199B.SBE	1	43	138	I'm sorry. I forgot, he's not your type.	미안, 깜빡했네. 저런 타입은 네 취향이 아니지.	REB1199B.SND
REB1199B.SBE	2	142	202	You wouldn't care if he likes you or not.	저 사람이 널 좋아하든 말든 넌 신경도 안 쓰겠지.	REB1199B.SND
REB1199B.SBE	3	216	316	So let's ask the woman in red, there, behind me.	그럼 내 뒤의 빨간 옷 여자에게 물어볼까.	REB1199B.SND
REB1199B.SBE	4	321	379	She's gorgeous, don't you think?	정말 눈부시지 않아?	REB1199B.SND
REB1199B.SBE	5	386	528	Tall, slender, grieving, such majestic pain...	키 크고, 가늘고, 슬픔에 잠겨 있고, 저 장엄한 고통이라니...	REB1199B.SND
REB1199C.SBE	0	0	75	Sophie! Everyone can hear you.	소피! 다 들리잖아.	REB1199C.SND
REB1199C.SBE	1	75	147	So what? What difference does it make to us?	그래서? 그게 우리한테 무슨 상관인데?	REB1199C.SND
REB1199C.SBE	2	160	284	Why travel if you're going to worry about the same things as at home?	집에서 하던 걱정을 똑같이 할 거면 왜 여행을 하겠어?	REB1199C.SND
REB1199C.SBE	3	297	388	You're free. You just don't know it yet.	넌 자유로워. 아직 그걸 모를 뿐이야.	REB1199C.SND
REB1199C.SBE	4	416	470	You make it all sound so simple.	넌 뭐든 너무 쉽게 말해.	REB1199C.SND
REB1199C.SBE	5	480	576	If you only knew how very difficult it was for me to even get on this train.	내가 이 열차에 오르기까지 얼마나 힘들었는지 알기나 해?	REB1199C.SND
REB1200A.SBE	0	0	114	These aren't new answers, Sophie. All of Russia may go into revolt.	그런 답은 새롭지 않아, 소피. 러시아 전역이 반란에 휩싸일지도 몰라.	REB1200A.SND
REB1200A.SBE	1	153	266	After a month on the island you won't think about such things.	섬에서 한 달만 지내면 그런 생각은 안 나게 될 거야.	REB1200A.SND
REB1200A.SBE	2	266	369	Listen, why don't you write a play when we get there?	있지, 거기 도착하면 희곡 하나 써보는 거 어때?	REB1200A.SND
REB1200A.SBE	3	369	419	It could be brilliant.	정말 훌륭할 수도 있어.	REB1200A.SND
REB1200A.SBE	4	435	558	One of your amusing little pieces, like the one you did on Reginald.	레지널드를 다룬 것처럼, 네 재치 있는 짧은 작품 말이야.	REB1200A.SND
REB1200A.SBE	5	570	733	I'll be Ariadne, you'll be Theseus. Josephine can be the Minotaur.	난 아리아드네, 넌 테세우스, 조세핀은 미노타우로스로 하자.	REB1200A.SND
REB1200A.SBE	6	733	832	Although you're so stubborn, that should really be your role.	다만 네가 워낙 고집이 세니 그 역할은 네가 맡아야 할지도.	REB1200A.SND
REB1200A.SBE	7	832	865	Josephine...	조세핀...	REB1200A.SND
REB1200A.SBE	8	865	915	Oh yes, didn't I tell you?	아, 그래. 내가 말 안 했나?	REB1200A.SND
REB1200A.SBE	9	915	996	She wrote just at the last minute and positively demanded to come.	막판에 편지를 보내선 꼭 오겠다고 아주 강하게 밀어붙였어.	REB1200A.SND
REB1200A.SBE	10	996	1065	She hates to be left out of anything.	뭐든 빠지는 걸 못 참는 애잖아.	REB1200A.SND
REB1200A.SBE	11	1065	1174	Oh, don't make such a face! Of course you and I will be together.	그런 표정 짓지 마! 당연히 너랑 나는 같이 있을 거야.	REB1200A.SND
REB1200A.SBE	12	1174	1324	After all, we can't spend all our time just staring at the sunset.	그렇다고 우리 둘이 하루 종일 노을만 바라볼 순 없잖아.	REB1200A.SND
REB1205.SBE	0	27	66	I'm bored.	심심해.	REB1205.SND
REB1205.SBE	1	76	124	Why don't we go out to the salon?	살롱으로 나갈까?	REB1205.SND
REB1205.SBE	2	124	156	In a minute.	잠깐만.	REB1205.SND
REB1205.SBE	3	214	343	I don't know why you wanted to travel if all you're going to do is write in your book.	여행 와서 할 거라곤 수첩에 글 쓰는 것뿐이면 왜 온 건지 모르겠어.	REB1205.SND
REB1205.SBE	4	358	397	You could do that at home.	그건 집에서도 할 수 있잖아.	REB1205.SND
REB1205.SBE	5	397	503	Thank you, Sophie, for that profound reflection on travelling and writing.	고마워, 소피. 여행과 글쓰기에 대한 참 심오한 통찰이네.	REB1205.SND
REB1205.SBE	6	530	656	Oh I know. You're angry because of Josephine, aren't you?	조세핀 때문에 화난 거지, 그렇지?	REB1205.SND
REB1205.SBE	7	656	735	You can invite the whole crowd, for all I care.	네 맘대로 사람들 다 불러. 난 상관없어.	REB1205.SND
REB1205.SBE	8	735	813	They'd come to the island anyway once they knew you were there.	네가 거기 있다는 걸 알면 어차피 다 섬으로 올 테니까.	REB1205.SND
REB1205.SBE	9	813	904	Is that what you're writing in your book? Let me see.	그게 네 공책에 쓰던 내용이야? 어디 좀 보자.	REB1205.SND
REB1205.SBE	10	915	1020	If you want to spy on what I'm writing, you'll have to do it when I'm not around.	내가 뭘 쓰는지 엿보려면 내가 없을 때 해야 할 거야.	REB1205.SND
REB1205.SBE	11	1032	1094	I don't care what you write.	네가 뭘 쓰든 난 관심 없어.	REB1205.SND
REB1205.SBE	12	1094	1191	Do what you want, I'm going to the salon.	네 마음대로 해. 난 살롱에 갈래.	REB1205.SND
REB2001.SBE	0	0	57	What were you writing all morning?	아침 내내 뭘 쓰고 있었어?	REB2001.SND
REB2001.SBE	1	57	95	Just my diary.	그냥 일기.	REB2001.SND
REB2001.SBE	2	95	195	I thought it must be a novel. You were writing such a long time.	너무 오래 쓰길래 소설인 줄 알았지.	REB2001.SND
REB2001.SBE	3	232	261	When can I read it?	언제 읽어볼 수 있어?	REB2001.SND
REB2001.SBE	4	261	303	You want to read my diary?	내 일기를 읽고 싶다고?	REB2001.SND
REB2001.SBE	5	303	366	Of course. Unless it's a secret.	당연하지. 비밀이라면 몰라도.	REB2001.SND
REB2001.SBE	6	366	433	I, well... It is, rather.	그게... 음... 사실 좀 비밀이야.	REB2001.SND
REB2001.SBE	7	433	528	No one's ever asked me before. I don't know what to say.	누가 읽게 해달란 건 처음이라 뭐라 해야 할지 모르겠네.	REB2001.SND
REB2001.SBE	8	528	651	I'm just teasing you. It was just to see the look on your face.	농담이야. 네 표정 보려고 그랬지.	REB2001.SND
REB2001.SBE	9	674	734	Really... Sophie.	정말... 소피.	REB2001.SND
REB2001.SBE	10	734	782	You were really funny.	너 아까 정말 웃겼어.	REB2001.SND
REB2001.SBE	11	782	852	You would have thought I was asking to borrow money.	내가 돈 빌려달라는 줄 알았겠다.	REB2001.SND
REB3000.SBE	0	0	45	There's absolutely no one here.	여긴 정말 사람이 하나도 없네.	REB3000.SND
REB3000.SBE	1	45	84	But of course.	그야 당연하지.	REB3000.SND
REB3001.SBE	0	9	87	Ah, ladies. So good to see you!	아, 숙녀분들. 뵙게 되어 정말 반갑습니다!	REB3001.SND
REB3001.SBE	1	92	147	We have kept your table for you.	두 분 자리는 그대로 비워 두었습니다.	REB3001.SND
REB3001.SBE	2	150	170	Thank you.	고마워요.	REB3001.SND
REB3001.SBE	3	174	259	Do you know, I was starting to really miss your presence.	아십니까, 두 분이 안 계시니 정말 허전했습니다.	REB3001.SND
REB3001.SBE	4	264	366	Without you, the Orient Express would be just an ordinary train.	두 분이 없으면 오리엔트 특급도 그저 평범한 열차일 뿐입니다.	REB3001.SND
REB3001.SBE	5	370	405	Thank you, Pascale.	고마워요, 파스칼.	REB3001.SND
REB3002.SBE	0	0	59	I'm absolutely famished.	나 정말 배고파 죽겠어.	REB3002.SND
REB3002.SBE	1	59	148	You'll have to get used to eating late, my dear Rebecca.	레베카, 늦게 먹는 데 익숙해져야 해.	REB3002.SND
REB3002.SBE	2	148	256	On the island one never lunches before three o'clock.	섬에서는 점심을 세 시 전에 먹지 않아.	REB3002.SND
REB3002.SBE	3	256	295	You see, during the day it is quite hot.	낮에는 꽤 덥거든.	REB3002.SND
REB3002.SBE	4	295	376	Between twelve and three there is nothing to do but nap.	열두 시에서 세 시 사이엔 낮잠 말고 할 일이 없어.	REB3002.SND
REB3002.SBE	5	376	463	There is a divine woman from the village	마을에 솜씨 좋은 여자가 하나 있는데	REB3002.SND
REB3002.SBE	6	463	627	who will do your hair. I fancy you in a looser style...	네 머리를 해줄 거야. 난 네가 좀 느슨한 스타일이 어울린다고 봐...	REB3002.SND
REB3002.SBE	7	627	678	With ringlets, for example.	예를 들면 컬 같은 거.	REB3002.SND
REB3002.SBE	8	678	705	Not ringlets.	컬은 싫어.	REB3002.SND
REB3002.SBE	9	705	834	Ah, but my darling, our goal was to reinvent you, wasn't it?	아, 하지만 자기야, 우리의 목표는 널 새롭게 바꾸는 거였잖아?	REB3002.SND
REB3002.SBE	10	853	930	The warm breeze off the sea will transform your soul.	바다에서 불어오는 따뜻한 바람이 네 영혼을 바꿔줄 거야.	REB3002.SND
REB3002.SBE	11	930	1133	Listen: when the day cools down, the golden afternoon light comes,	잘 들어봐. 더위가 가라앉으면 황금빛 오후 햇살이 내려오고,	REB3002.SND
REB3002.SBE	12	1133	1212	turning the water a deep blue and black.	바다는 짙은 남청색과 검은빛으로 변해.	REB3002.SND
REB3002.SBE	13	1236	1332	We will eat olives and homemade bread.	우린 올리브와 집에서 구운 빵을 먹고,	REB3002.SND
REB3002.SBE	14	1332	1461	The cook makes a very nice lamb dish, if I remember right.	기억이 맞다면 요리사가 양고기 요리를 아주 잘해.	REB3002.SND
REB3002.SBE	15	1479	1653	Then we will walk along the cliffs, like Sappho and her beloved,	그리고 사포와 그 연인처럼 절벽길을 걷는 거야,	REB3002.SND
REB3002.SBE	16	1653	1787	in light, gauzy gowns, and watch the sun go down.	얇고 하늘거리는 옷을 입고 해지는 걸 바라보면서.	REB3002.SND
REB3002.SBE	17	1787	1959	Followed, I suppose, by Josephine, Victoria, and Francesca? Also in gauze?	그 뒤로 조세핀, 빅토리아, 프란체스카도 따라오겠지? 그들도 하늘거리는 옷 차림으로?	REB3002.SND
REB3002.SBE	18	1959	2109	Why not? You will see; on the island everyone becomes very close.	왜 안 돼? 두고 봐, 섬에선 다들 금세 가까워져.	REB3002.SND
REB3002.SBE	19	2121	2219	Victoria is simply irresistible.	빅토리아는 정말 거부할 수가 없어.	REB3002.SND
REB3002.SBE	20	2219	2392	Last summer she lolled around all day like a big, lazy orange cat,	지난여름엔 큰 게으른 주황 고양이처럼 하루 종일 빈둥거렸지,	REB3002.SND
REB3002.SBE	21	2392	2439	sleeping and waiting to be stroked.	자고, 쓰다듬어 주기만 기다리면서.	REB3002.SND
REB3002.SBE	22	2454	2525	I came to be with you, Sophie.	난 너랑 같이 있으려고 온 거야, 소피.	REB3002.SND
REB3002.SBE	23	2525	2589	Not with Josephine and that group of parasites.	조세핀과 그 기생충 무리 때문이 아니라고.	REB3002.SND
REB3002.SBE	24	2589	2736	Of course! But Francesca has the most charming little house in Marbella.	물론이지! 하지만 프란체스카가 마르벨라에 정말 매력적인 작은 집을 갖고 있잖아.	REB3002.SND
REB3002.SBE	25	2736	2805	You cannot take everything so seriously, Rebecca.	레베카, 모든 걸 그렇게 심각하게 받아들이면 안 돼.	REB3002.SND
REB3002.SBE	26	2805	2841	I'm trying.	노력하고 있어.	REB3002.SND
REB3002.SBE	27	2860	2988	Good. Now let's change the subject. For example, your clothes.	좋아. 이제 화제를 바꾸자. 예를 들면 네 옷.	REB3002.SND
REB3002.SBE	28	2988	3020	My clothes?	내 옷?	REB3002.SND
REB3002.SBE	29	3020	3156	Yes. Now that we are away from England, it's time for a new image.	그래. 이제 영국을 벗어났으니 새 이미지가 필요해.	REB3002.SND
REB3004.SBE	0	45	150	I wish we were on the island now. I hate these times in-between.	지금 당장 섬에 있었으면 좋겠어. 이 중간 시간이 너무 싫어.	REB3004.SND
REB3004.SBE	1	165	298	Oh, I love the in-between times. The only time I can really think.	난 이런 중간 시간이 좋아. 제대로 생각할 수 있는 유일한 시간이거든.	REB3004.SND
REB3005.SBE	0	0	61	Who is this prince, that's what I'd like to know.	이 왕자라는 사람, 대체 누구인지 알고 싶어.	REB3005.SND
REB3005.SBE	1	61	132	I don't think he's a prince of anything.	난 그가 무슨 왕자라고도 생각 안 해.	REB3005.SND
REB3005.SBE	2	132	190	It all sounds very mysterious.	모든 게 너무 수상쩍어.	REB3005.SND
REB3005.SBE	3	190	256	Why do you think he invited us and not Madame Boutarel?	왜 우리만 초대하고 마담 부타렐은 안 불렀을까?	REB3005.SND
REB3005.SBE	4	256	318	It's very simple, he's a snob.	아주 간단해, 속물이니까.	REB3005.SND
REB3005.SBE	5	318	412	He does not know me, he only knows my name, de Bretheuil.	그 사람은 나를 아는 게 아니라 내 성, 드 브레퇴유만 아는 거야.	REB3005.SND
REB3005.SBE	6	412	512	He thinks to invite the noblest to make himself important.	스스로 격을 높이려고 가장 귀족적인 사람을 초대한 거지.	REB3005.SND
REB3005.SBE	7	512	618	That's why he does not invite some petit bourgeois like the Boutarel.	그래서 부타렐 같은 쁘띠 부르주아는 초대하지 않는 거고.	REB3005.SND
REB3005.SBE	8	618	715	But he invites the Count Obolensky, who he does not know.	그러면서 알지도 못하는 오볼렌스키 백작은 초대하잖아.	REB3005.SND
REB3005.SBE	9	715	754	Then you don't think we should accept?	그럼 우리도 수락하지 말아야 한다는 뜻이야?	REB3005.SND
REB3005.SBE	10	754	862	Why not? It will be less boring than listening to Madame Boutarel.	왜 안 돼? 마담 부타렐 이야기 듣는 것보단 덜 지루하겠지.	REB3005.SND
REB3005.SBE	11	862	927	Did I tell you what she said to me this morning?	오늘 아침 그 여자가 내게 뭐라 했는지 말해줬나?	REB3005.SND
REB3005.SBE	12	927	1011	Apparently, the reason she and her husband aren't sharing an compartment	듣자니 그녀와 남편이 한 객실을 쓰지 않는 이유가	REB3005.SND
REB3005.SBE	13	1011	1062	is that their little boy Fran뇇is...	그 집 꼬마 프랑수아 때문이라나...	REB3005.SND
REB3007.SBE	0	0	29	Excuse me.	실례합니다.	REB3007.SND
REB3007.SBE	1	44	74	You're coming back?	다시 오는 거지?	REB3007.SND
REB3007.SBE	2	74	123	Yes, I will be in a minute.	응, 금방 돌아올게.	REB3007.SND
REB3007.SBE	3	123	186	Okay, I'll be waiting for you.	좋아, 기다리고 있을게.	REB3007.SND
REB3008.SBE	0	0	46	You were away for a long time.	꽤 오래 자리를 비웠네.	REB3008.SND
REB3008.SBE	1	46	133	Was I? I'm sorry. Are you terribly bored?	그랬어? 미안해. 엄청 지루했어?	REB3008.SND
REB3008.SBE	2	133	169	Yes!	응!	REB3008.SND
REB3008.SBE	3	186	285	I told Madame Boutarel about the concert and she was absolutely livid.	내가 마담 부타렐에게 연주회 얘길 했더니 완전히 격분하더라.	REB3008.SND
REB3010.SBE	0	0	119	It's easy for you to say that now, Now that I have nothing to go back to.	넌 지금 그런 말 쉽게 하지. 난 이제 돌아갈 곳조차 없는데.	REB3010.SND
REB3010.SBE	1	119	165	That's not my fault.	그건 내 잘못이 아니야.	REB3010.SND
REB3010.SBE	2	165	225	You weren't talking like that in London.	런던에선 그런 말 안 했잖아.	REB3010.SND
REB3010.SBE	3	225	292	London is London, here is here!	런던은 런던이고, 여긴 여기야!	REB3010.SND
REB3010.SBE	4	292	389	I don't know why I feel something one day and not another.	왜 어떤 날은 그렇고 어떤 날은 아닌지 나도 몰라.	REB3010.SND
REB3010.SBE	5	389	456	But I won't pretend I feel it when I don't.	하지만 아닌 걸 그렇다고 꾸미진 않을 거야.	REB3010.SND
REB3010.SBE	6	456	491	I'm not like you.	난 너랑 달라.	REB3010.SND
REB3010.SBE	7	491	555	No one's feelings can change that fast.	사람 마음이 그렇게 빨리 바뀔 순 없어.	REB3010.SND
REB3010.SBE	8	555	592	Well mine do.	내 마음은 그래.	REB3010.SND
REB3010.SBE	9	592	675	You can't treat people as if they were your toys.	사람을 네 장난감처럼 다루면 안 돼.	REB3010.SND
REB3010.SBE	10	675	732	There are consequences, you know.	그엔 대가가 따르는 법이야.	REB3010.SND
REB3010.SBE	11	743	807	I've given up a lot to come on this trip.	이 여행을 오려고 난 많은 걸 포기했어.	REB3010.SND
REB3010.SBE	12	807	915	I don't care about the things you give up, for me that's nothing.	네가 뭘 포기했는지는 내게 중요하지 않아, 그런 건 아무것도 아니야.	REB3010.SND
REB3010.SBE	13	915	1020	What you give to me, what you make me feel, that's what I care about.	네가 내게 주는 것, 네가 내게 느끼게 하는 것, 그게 중요해.	REB3010.SND
REB3010.SBE	14	1020	1080	You won't give me a chance.	넌 내게 기회조차 안 줘.	REB3010.SND
REB3010.SBE	15	1080	1209	You're always talking about sacrifices, consequences, obligations...	넌 늘 희생, 결과, 의무 같은 얘기만 하잖아...	REB3010.SND
REB3010.SBE	16	1209	1250	I don't give a damn about any of it.	난 그런 거 하나도 신경 안 써.	REB3010.SND
REB3010.SBE	17	1250	1314	If I'd wanted all that baggage I would have married Philippe.	그런 짐이 필요했으면 차라리 필리프랑 결혼했지.	REB3010.SND
REB3010.SBE	18	1314	1365	At least that would have had its compensations.	최소한 그쪽은 얻는 게라도 있었을 테니까.	REB3010.SND
REB4001.SBE	0	17	99	Ladies, it is delightful to see you again.	숙녀분들, 다시 뵈니 정말 반갑습니다.	REB4001.SND
REB4001.SBE	1	102	170	Your table is waiting for you, as always.	늘 그렇듯 두 분 자리가 기다리고 있습니다.	REB4001.SND
REB4001.SBE	2	175	212	Please, follow me.	이쪽으로 오십시오.	REB4001.SND
REB4001.SBE	3	216	317	Tonight's dinner is less bad than usual.	오늘 저녁 식사는 평소보다 덜 형편없습니다.	REB4001.SND
REB4001.SBE	4	321	418	Perhaps it will not offend your excellent palate.	두 분의 훌륭한 미각을 거스르지 않기를 바라지요.	REB4001.SND
REB4001.SBE	5	430	471	Thank you, Pascale.	고마워요, 파스칼.	REB4001.SND
REB4004.SBE	0	0	122	I just can't imagine Charlotte deliberately letting herself in for that sort of a life.	샬럿이 그런 삶을 일부러 선택했다는 건 도저히 상상이 안 돼.	REB4004.SND
REB4004.SBE	1	122	192	I mean, after the hell that Anne's been through.	앤이 그렇게 고생한 걸 보고도 말이야.	REB4004.SND
REB4004.SBE	2	192	333	It's not so bad for Anne. She amuses herself, her husband amuses himself,	앤도 아주 나쁘진 않아. 본인은 본인대로 즐기고 남편도 남편대로 즐기잖아,	REB4004.SND
